Months,L,M,S,p3,p10,p25,p50,p75,p85,p97
1.642710473,0.2255,15.4408,0.09425,12.88557281,13.66109051,14.48310282,15.4408,16.44682872,17.00720148,18.37198416
1.675564682,0.2205,15.4744,0.0942,12.91594689,13.69223696,14.51526475,15.4744,16.48223313,17.04374049,18.41166964
1.708418891,0.2156,15.5072,0.09415,12.94563863,13.72266987,14.54667569,15.5072,16.51678026,17.07938787,18.45037319
1.741273101,0.2107,15.5393,0.0941,12.97475253,13.75248786,14.57743233,15.5393,16.55057991,17.11426171,18.48824122
1.77412731,0.2059,15.5706,0.09404,13.00343719,13.78177299,14.60753761,15.5706,16.58341195,17.14806977,18.52479099
1.806981519,0.2012,15.6012,0.09399,13.03126847,13.81025158,14.63688575,15.6012,16.6156035,17.18127026,18.56081275
1.839835729,0.1966,15.6311,0.09394,13.05849955,13.83810428,14.66557631,15.6311,16.64704444,17.21368941,18.59597116
1.872689938,0.192,15.6604,0.09389,13.08523504,13.86542979,14.69370603,15.6604,16.67784461,17.24544534,18.63041286
1.905544148,0.1875,15.689,0.09385,13.11111472,13.89194689,14.72107752,15.689,16.70800562,17.27659585,18.66433088
1.938398358,0.183,15.717,0.0938,13.136753,13.91811836,14.74798833,15.717,16.7374148,17.30690777,18.69719325
1.971252567,0.1787,15.7444,0.09375,13.16185219,13.94374141,14.77433207,15.7444,16.76617672,17.33654062,18.72928305
2.004106776,0.1743,15.7713,0.09371,13.18630383,13.96875268,14.80011056,15.7713,16.79451986,17.36580551,18.76114529
2.036960986,0.17,15.7975,0.09366,13.21040924,13.99331964,14.82533177,15.7975,16.82200081,17.39411267,18.79180233
2.069815195,0.1658,15.8232,0.09361,13.2340798,14.01743666,14.85008254,15.8232,16.8489444,17.42185895,18.82183349
2.102669404,0.1617,15.8483,0.09357,13.25697504,14.04083151,14.87416759,15.8483,16.87535686,17.44911235,18.85146449
2.135523614,0.1575,15.8729,0.09353,13.2794772,14.06379646,14.89778779,15.8729,16.90123906,17.4758217,18.88052734
2.168377823,0.1535,15.8968,0.09348,13.30161187,14.08630698,14.92084799,15.8968,16.92625506,17.50156398,18.90835336
2.201232033,0.1495,15.9202,0.09344,13.32307483,14.10819326,14.94333873,15.9202,16.95085043,17.52693264,18.93592856
2.234086243,0.1455,15.9431,0.0934,13.34412278,14.1296389,14.96536145,15.9431,16.97491232,17.55174932,18.96290741
2.266940452,0.1416,15.9655,0.09336,13.36473423,14.15063342,14.9869131,15.9655,16.99843743,17.57600597,18.9892616
2.299794661,0.1377,15.9874,0.09332,13.38493032,14.17118708,15.00799662,15.9874,17.02142912,17.59971068,19.01501941
2.332648871,0.1339,16.0087,0.09328,13.40460585,14.19120076,15.0285151,16.0087,17.04377761,17.62274533,19.04003351
2.36550308,0.1301,16.0297,0.09324,13.42403314,14.21095065,15.0487531,16.0297,17.06580566,17.64544826,19.06468907
2.398357289,0.1263,16.0501,0.0932,13.44296082,14.23017071,15.06842896,16.0501,17.08719391,17.66748928,19.0886293
2.431211499,0.1226,16.0702,0.09316,13.46161871,14.24911645,15.08782126,16.0702,17.10825842,17.68919053,19.11218251
